"","id","values","ID","Functional","Treatmentb","STREETNAME","PlanActivi","From1","BeginningS","EndingStat","PavementWi","Length","To1","NPR","OCI","ExtendedCo","Route_ID","Inspection"
"0","0",5,"116","RT - Residential Local","PM","CLEVELAND ST","(PM) Pavement Patching","CENTRAL ST",0,496,26.5,496,"HARVARD ST",53.29,56.8,29135.78,116,"2012/09/28"
"1","1",9,"123","CO - Collector","PM","CONCORD AVE","(PM) Pavement Patching","PROSPECT ST",0,1049,26.5,1049,"SPRINGFIELD ST",68.49,49.9,61619.96,123,"2012/10/16"
"2","2",6,"378","RT - Residential Local","BR","MEACHAM RD","(BR) Recon/Reclaim Local w/ramps","CAMBRIDGE TOWNLINE",0,1076,26.5,1076,"DOVER ST",64.42,20.62,477609.17,378,"2014/11/25"
"3","3",8,"381.1","CO - Collector","SI","MEDFORD ST","(SI) 3"" Mill & Overlay Art/Col w/ramps","SOUTH ST",535,1626,33,1091,"SOMERVILLE AVE",71.78,39.22,392992.42,381,"2012/10/18"
"4","4",6,"408.1","CO - Collector","PM","MOUNT VERNON ST","(PM) Pavement Patching","PEARL ST",1089,1744,26.5,655,"WASHINTON ST",66.26,52.14,38475.77,408,"2012/10/05"
"5","5",5,"41.15","AR - Arterial","SI","BEACON ST","(SI) 3"" Mill & Overlay Art/Col w/ramps","PROPERZI WAY (S)",2551,3547,42.5,996,"135' S OF KENT ST",76.42,36.64,462055.14,41,"2012/11/05"
"6","6",7,"191","RT - Residential Local","DN","ESSEX ST","Do Nothing","RICHDALE ST",0,281,25.5,281,"MEDFORD ST",40.2,99.34,0,191,"2012/06/26"
"7","7",3,"198","RE - Residential Dead End","DN","FAIRLEE ST","Do Nothing","CHERRY ST",0,167,19.5,167,"DEAD END",27.8,97.16,0,198,"2014/10/27"
"8","8",1,"255","RT - Residential Local","DN","HAMMOND ST","Do Nothing","CONCORD AVE",0,315,26.5,315,"DICKENSON ST",40.1,99.69,0,255,"2012/09/25"
"9","9",7,"26","RT - Residential Local","DN","ASSEMBLY SQ DR","Do Nothing","FELLSWAY WEST",0,4536,62,4536,"MYSTIC AVE",41.71,94.43,0,26,"2012/11/03"
"10","10",8,"289","RT - Residential Local","PM","HOLYOKE RD","(PM) Pavement Patching","ELM ST (E)",0,696,26.5,696,"ELM ST (W)",55.53,49.52,40884.13,289,"2014/10/24"
"11","11",7,"293","RT - Residential Local","RM","HOUGHTON ST","(RM) Crack Seal","CAMBRIDGE TOWNLINE",0,699,27.5,699,"SPRINGFIELD ST",45.6,81.8,3225.1,293,"2012/09/25"
"12","12",6,"329","RE - Residential Dead End","PM","LANDERS ST","(PM) Pavement Patching","SCHOOL ST",0,244,27,244,"DEAD END",40.17,56.94,14603.4,329,"2012/10/27"
"13","13",5,"335","RT - Residential Local","PM","LEE ST","(PM) Pavement Patching","RICHDALE AVE",0,438,26,438,"MEDFORD ST",53.34,56.64,25243.33,335,"2012/09/27"
"14","14",7,"164","RT - Residential Local","PM","DIMICK ST","(PM) Pavement Patching","CONCORD AVE",0,989,27,989,"CALVIN ST",52.28,60.08,59191.65,164,"2012/09/25"
"15","15",5,"173","RE - Residential Dead End","RM","EARLE ST","(RM) Crack Seal","SOUTH ST",0,267,26,299,"NORTHERLY",37,67.25,1304.31,173,"2012/11/03"
"16","16",4,"105","RT - Residential Local","SI","CHARNWOOD RD","(SI) 2"" Mill & Overlay Local w/ramps","WILLOW AVE",0,634,26,634,"HANCOCK ST",57.96,41.64,151689.8,105,"2014/10/24"
"17","17",2,"110","RT - Residential Local","RM","CHESTNUT ST","(RM) Crack Seal","POPLAR ST",0,894,40,894,"FITCHBURG ST",43.91,87.28,5999.73,110,"2012/09/19"
"18","18",10,"364","RT - Residential Local","DN","MADISON ST","Do Nothing","SCHOOL ST",0,935,26,935,"SYCAMORE ST",41.81,94.13,0,364,"2012/09/27"
"19","19",5,"370","RT - Residential Local","RM","MANSFIELD ST","(RM) Crack Seal","SOMERVILLE AVE",0,837,26.5,837,"WASHINGTON ST",44.6,85.04,3721.4,370,"2012/09/13"
"20","20",5,"398","RT - Residential Local","RM","MORELAND ST","(RM) Crack Seal","MAIN ST",0,1555,26.5,1555,"MYSTIC AVE",45.88,80.9,6913.7,398,"2012/09/20"
"21","21",5,"403","RT - Residential Local","RM","MORTON ST","(RM) Crack Seal","KNOWLTON ST",0,326,26.5,326,"GLEN ST",47.46,75.76,1449.43,403,"2012/09/20"
"22","22",8,"185.1","CO - Collector","PM","ELM ST","(PM) Pavement Patching","RUSSELL ST",3788,4779,38,991,"DAY ST",61.75,66.81,83475.19,185,"2014/11/25"
"23","23",1,"220.1","CO - Collector","RM","FRANKLIN ST","(RM) Crack Seal","PEARL ST",1080,2336,25.5,1256,"WASHINGTON ST",59.05,75.6,5373.59,220,"2012/10/05"
"24","24",2,"242","RT - Residential Local","SI","GRANITE ST","(SI) 2"" Mill & Overlay Local w/ramps","SOMERVILLE AVE",0,466,26.5,466,"OSGOOD ST",57.65,42.64,113638.15,242,"2012/08/30"
"25","25",3,"25","RT - Residential Local","PM","ASHLAND ST","(PM) Pavement Patching","SUMMER ST",0,521,20,521,"SARTWELL AVE",55.78,48.72,23097.71,25,"2014/10/27"
"26","26",1,"277.04","CO - Collector","PM","HIGHLAND AVE","(PM) Pavement Patching","CHERRY ST",6693,8371,39.5,1678,"ELLINGTON RD",67.94,49.2,146922.97,277,"2012/11/05"
"27","27",1,"280","RT - Residential Local","PM","HILL ST","(PM) Pavement Patching","BROADWAY (E)",0,338,26.5,338,"FAIRMOUNT AVE",54.89,51.6,19854.64,280,"2014/11/18"
"28","28",7,"315.1","RT - Residential Local","DN","JOSEPHINE AVE","Do Nothing","KIDDER AVE",793,1781,30,988,"BROADWAY (E)",41.62,94.73,0,315,"2014/10/24"
"29","29",7,"321.1","CO - Collector","RM","KIDDER AVE","(RM) Crack Seal","WILLOW AVE",1422,2608,26,1186,"BOSTON AVE (S)",56.65,83.4,5173.59,321,"2014/11/18"
"30","30",1,"153.1","CO - Collector","PM","DANE ST","(PM) Pavement Patching","120' S OF VILLAGE ST",700,1408,27,708,"WASHINGTON ST",62.71,63.69,42373.8,153,"2012/10/02"
"31","31",10,"16","RT - Residential Local","RM","ALLEN ST","(RM) Crack Seal","SOMERVILLE AVE",0,667,15,667,"CHARLESTOWN ST",45.48,82.2,1678.62,16,"2012/09/13"
"32","32",4,"1001.12","CO - Collector","SI","BROADWAY","(SI) 3"" Mill & Overlay Art/Col w/ramps","WALLACE ST",4233,5328,48,1095,"C0LLEGE AVE",69.92,42.76,573721.6,1001,"2014/11/26"
"33","33",5,"1001.5","CO - Collector","SI","BROADWAY","(SI) 3"" Mill & Overlay Art/Col w/ramps","205' E OF MEDFORD ST",9057,9782,59.5,725,"GLENWOOD RD",70.57,40.64,470870.21,1001,"2012/10/19"
