FID,Shape *,ID,Functional,Treatmentb,PavementCl,STREETNAME,PlanActivi,From1,BeginningS,EndingStat,PavementWi,Length,To1,NPR,OCI,ExtendedCo,Route_ID
0,Polyline M,383,RT - Residential Local,DN,BC - Bituminous Concrete,MELVIN ST,Do Nothing,BROADWAY (E),0,544,26.5,544,BONAIR ST (W),70.13,97.93,0,383
1,Polyline M,415.11,AR - Arterial,SI,BC - Bituminous Concrete,MYSTIC AVE,"(SI) 3"" Mill & Overlay Art/Col w/ramps",800' W OF NORTH UNION ST,1348,2264,52,916,MIDDLESEX AVE,62.95,39.59,484099.49,415
2,Polyline M,382,RT - Residential Local,RM,BC - Bituminous Concrete,MELVILLE RD,(RM) Crack Seal,TEN HILLS RD,0,324,27,324,SHORE DRIVE,66.84,87.24,1759.32,382
3,Polyline M,381.5,CO - Collector,DN,BC - Bituminous Concrete,MEDFORD ST,Do Nothing,115' N OF GLENWOOD RD,9081,10243,38.5,1162,MEDFORD TOWNLINE,83.82,99.92,0,381
4,Polyline M,381.42,CO - Collector,SI,BC - Bituminous Concrete,MEDFORD ST,"(SI) 3"" Mill & Overlay Art/Col w/ramps",CENTRAL ST,8115,9081,38,966,115' N OF GLENWOOD RD,64.99,41.22,373075.94,381
5,Polyline M,381.41,CO - Collector,SI,BC - Bituminous Concrete,MEDFORD ST,"(SI) 3"" Mill & Overlay Art/Col w/ramps",LEE ST,7384,8115,38,728,CENTRAL ST,64.99,41.22,281158.66,381
6,Polyline M,381.4,CO - Collector,SI,BC - Bituminous Concrete,MEDFORD ST,"(SI) 3"" Mill & Overlay Art/Col w/ramps",SCHOOL ST,6583,7384,38,804,LEE ST,64.99,41.22,310510.46,381
7,Polyline M,420,RE - Residential Dead End,PM,BC - Bituminous Concrete,NASHUA ST,(PM) Pavement Patching,RICHARDSON ST,0,640,23,640,DEAD END,45.14,59.22,30388.7,420
8,Polyline M,381.3,CO - Collector,RM,BC - Bituminous Concrete,MEDFORD ST,(RM) Crack Seal,HIGHLAND AVE,4509,6583,33,2074,SCHOOL ST,79.01,84.28,13764.45,381
9,Polyline M,381.2,CO - Collector,RM,BC - Bituminous Concrete,MEDFORD ST,(RM) Crack Seal,SOMERVILLE AVE,1626,4509,28,2883,HIGHLAND AVE,78.28,81.92,16234.49,381
10,Polyline M,381.1,CO - Collector,PM,BC - Bituminous Concrete,MEDFORD ST,(PM) Pavement Patching,SOUTH ST,535,1626,33,1091,SOMERVILLE AVE,69.23,52.49,74326.13,381
11,Polyline M,381,CO - Collector,SI,BC - Bituminous Concrete,MEDFORD ST,"(SI) 3"" Mill & Overlay Art/Col w/ramps",CAMBRIDGE TOWNLINE,0,535,35,535,SOUTH ST,67.57,47.1,190308.82,381
12,Polyline M,415.2,AR - Arterial,RM,BC - Bituminous Concrete,MYSTIC AVE,(RM) Crack Seal,MIDDLESEX AVE,2264,4307,28,2043,GRANT ST,79.04,71.88,11504.36,415
